rep_n,trial_n,agent_type,a1,a2,stay,r,last_r,last_trans
1,140,MF,right,right,1,0,0,rare
1,141,MF,left,right,0,1,0,common
1,142,MF,left,left,1,1,1,common
1,143,MF,left,left,1,1,1,common
1,144,MF,left,right,1,0,1,common
1,145,MF,left,right,1,1,0,common
1,146,MF,left,right,1,1,1,common
1,147,MF,left,right,1,1,1,common
1,148,MF,right,left,0,1,1,common
1,149,MF,left,right,0,0,1,rare
1,150,MF,left,left,1,0,0,common
1,151,MF,left,right,1,1,0,common
1,152,MF,right,right,0,0,1,common
1,153,MF,right,right,1,1,0,rare
1,154,MF,right,right,1,1,1,rare
1,155,MF,right,right,1,1,1,rare
1,156,MF,right,right,1,0,1,rare
1,157,MF,right,left,1,0,0,common
1,158,MF,left,right,0,1,0,common
1,159,MF,left,right,1,1,1,common
1,160,MF,left,right,1,0,1,common
1,161,MF,left,right,1,1,0,common
1,162,MF,left,right,1,0,1,common
1,163,MF,left,left,1,0,0,common
1,164,MF,right,right,0,1,0,common
1,165,MF,left,right,0,0,1,rare
1,166,MF,left,right,1,0,0,common
1,167,MF,left,right,1,1,0,common
1,168,MF,right,left,0,1,1,rare
1,169,MF,right,right,1,1,1,common
1,170,MF,left,left,0,1,1,common
1,171,MF,left,left,1,0,1,common
1,172,MF,right,right,0,1,0,common
1,173,MF,right,left,1,1,1,common
1,174,MF,right,left,1,1,1,common
1,175,MF,left,left,0,1,1,common
1,176,MF,left,left,1,0,1,rare
1,177,MF,right,right,0,0,0,common
1,178,MF,right,right,1,1,0,common
1,179,MF,right,left,1,1,1,rare
1,180,MF,left,right,0,1,1,common
1,181,MF,right,right,0,0,1,common
1,182,MF,right,left,1,1,0,rare
1,183,MF,left,left,0,1,1,common
1,184,MF,right,left,0,0,1,common
1,185,MF,right,right,1,0,0,common
1,186,MF,right,right,1,1,0,rare
1,187,MF,right,right,1,0,1,common
1,188,MF,left,left,0,1,0,common
1,189,MF,left,right,1,1,1,common
1,190,MF,right,left,0,1,1,rare
1,191,MF,left,left,0,1,1,common
1,192,MF,left,right,1,0,1,common
1,193,MF,left,left,1,1,0,rare
1,194,MF,left,left,1,0,1,rare
1,195,MF,right,left,0,1,0,common
1,196,MF,right,left,1,1,1,common
1,197,MF,left,left,0,1,1,common
1,198,MF,right,left,0,0,1,rare
1,199,MF,left,right,0,1,0,rare
1,200,MF,right,left,0,1,1,common
1,201,MF,left,left,0,1,1,common
1,202,MF,right,left,0,1,1,common
1,203,MF,right,left,1,1,1,common
1,204,MF,right,left,1,1,1,common
1,205,MF,right,left,1,0,1,rare
1,206,MF,right,right,1,1,0,common
1,207,MF,right,left,1,1,1,common
1,208,MF,right,right,1,1,1,rare
1,209,MF,right,right,1,1,1,rare
1,210,MF,left,left,0,1,1,common
1,211,MF,right,left,0,1,1,common
1,212,MF,right,left,1,1,1,common
1,213,MF,left,right,0,0,1,rare
1,214,MF,left,right,1,1,0,common
