agent_type,rep_n,train_n,uncertainty
MF,1,102,0.2058457946497785
MF,1,103,0.2058457946497785
MF,1,104,0.2058457946497785
MF,1,105,0.2058457946497785
MF,1,106,0.2058457946497785
MF,1,107,0.2058457946497785
MF,1,108,0.2058457946497785
MF,1,109,0.2058457946497785
MF,1,110,0.2058457946497785
MF,1,111,0.2058457946497785
MF,1,112,0.2058457946497785
MF,1,113,0.2058457946497785
MF,1,114,0.2058457946497785
MF,1,115,0.2058457946497785
MF,1,116,0.2058457946497785
MF,1,117,0.2058457946497785
MF,1,118,0.2058457946497785
MF,1,119,0.2058457946497785
MF,1,120,0.2058457946497785
MF,1,121,0.2058457946497785
MF,1,122,0.2058457946497785
MF,1,123,0.2058457946497785
MF,1,124,0.2058457946497785
MF,1,125,0.2058457946497785
MF,1,126,0.2058457946497785
MF,1,127,0.2058457946497785
MF,1,128,0.2058457946497785
MF,1,129,0.2058457946497785
MF,1,130,0.2058457946497785
MF,1,131,0.2058457946497785
MF,1,132,0.2058457946497785
MF,1,133,0.2058457946497785
MF,1,134,0.2058457946497785
MF,1,135,0.2058457946497785
MF,1,136,0.2058457946497785
MF,1,137,0.2058457946497785
MF,1,138,0.2058457946497785
MF,1,139,0.2058457946497785
MF,1,140,0.2058457946497785
MF,1,141,0.2058457946497785
MF,1,142,0.2058457946497785
MF,1,143,0.2058457946497785
MF,1,144,0.2058457946497785
MF,1,145,0.2058457946497785
MF,1,146,0.2058457946497785
MF,1,147,0.2058457946497785
MF,1,148,0.2058457946497785
MF,1,149,0.2058457946497785
MF,1,150,0.2058457946497785
MF,1,151,0.2058457946497785
MF,1,152,0.2058457946497785
MF,1,153,0.2058457946497785
MF,1,154,0.2058457946497785
MF,1,155,0.2058457946497785
MF,1,156,0.2058457946497785
MF,1,157,0.2058457946497785
MF,1,158,0.2058457946497785
MF,1,159,0.2058457946497785
MF,1,160,0.2058457946497785
MF,1,161,0.2058457946497785
MF,1,162,0.2058457946497785
MF,1,163,0.2058457946497785
MF,1,164,0.2058457946497785
MF,1,165,0.2058457946497785
MF,1,166,0.2058457946497785
MF,1,167,0.2058457946497785
MF,1,168,0.2058457946497785
MF,1,169,0.2058457946497785
MF,1,170,0.2058457946497785
MF,1,171,0.2058457946497785
MF,1,172,0.2058457946497785
MF,1,173,0.2058457946497785
MF,1,174,0.2058457946497785
MF,1,175,0.2058457946497785
MF,1,176,0.2058457946497785
MF,1,177,0.2058457946497785
MF,1,178,0.2058457946497785
MF,1,179,0.2058457946497785
MF,1,180,0.2058457946497785
MF,1,181,0.2058457946497785
MF,1,182,0.2058457946497785
MF,1,183,0.2058457946497785
MF,1,184,0.2058457946497785
MF,1,185,0.2058457946497785
MF,1,186,0.2058457946497785
MF,1,187,0.2058457946497785
MF,1,188,0.2058457946497785
MF,1,189,0.2058457946497785
MF,1,190,0.2058457946497785
MF,1,191,0.2058457946497785
MF,1,192,0.2058457946497785
MF,1,193,0.2058457946497785
MF,1,194,0.2058457946497785
MF,1,195,0.2058457946497785
MF,1,196,0.2058457946497785
MF,1,197,0.2058457946497785
MF,1,198,0.2058457946497785
MF,1,199,0.2058457946497785
